text,label
I love this country,safe
You are stupid,harmful
Free money click here,suspicious
Have a nice day,safe
Bomb threat tomorrow,harmful
Limited offer hurry up,suspicious
Good morning,safe
Have a great day,safe
My name is Rashmi,safe
I am going to market,safe
Hello everyone,safe
Congratulations on winning the prize,safe
Nice to meet you,safe
Let us work together,safe
See you tomorrow,safe
This is a normal conversation,safe
Click here to win free money,suspicious
Limited time offer hurry up,suspicious
Claim your reward now,suspicious
Free gift waiting for you,suspicious
Urgent response required,suspicious
I will attack you,harmful
Bomb threat tomorrow,harmful
You are stupid and useless,harmful
I will destroy everything,harmful
This is a threat message,harmful
Your bank account will be blocked. Share your OTP 459876 immediately to avoid suspension!!,harmful
SEND YOUR OTP NOW OR YOUR ACCOUNT WILL BE TERMINATED!!,harmful
Transfer money immediately. Click www.fakebank-login.com,harmful